order_id,clinic_id,product_id,product_name,category,order_date,quantity,delivered_to,delivery_time,current_stock,order_date_clean
G7O3N6,Cl_93,P9,Saevo S200,dental_chair,1/4/2021,1,Rajkot,4,5,1/4/2021
M8Y2D5,Cl_60,P56,Tornado Mini Head Handpiece,dental handpeice,3/27/2025,9,Ghatkopar,4,76,3/27/2025
N1C5A4,Cl_59,P67,Tealth Latch Type Contra Angle Low Speed Handpiece,dental handpeice,4/12/2022,3,Yavatmal,9,60,4/12/2022
D2Z5N2,Cl_80,P201,Rubber Dam Kit  With 11 Clamps & ClampHolder,dental instruments,8/1/2021,3,Kolhapur,9,6,8/1/2021
H2G9B5,Cl_76,P88,iCHECK Implant Stability Meter,implant uni-verse,8/8/2022,4,Durgapur,8,6,8/8/2022
P9B8Q2,Cl_57,P25,Xpect Vision Size 1Intraoral Sensor,imaging,8/22/2022,9,Salem,8,2,8/22/2022
T3Z8P5,Cl_84,P64,Tealth 45 Degree High Speed Air Rotor,dental handpeice,4/29/2020,10,Vasant Kunj,4,72,4/29/2020
Y5C5J6,Cl_74,P135,Arum 5x-500 Dental Milling Machine,dental milling machine,9/26/2025,3,Palakkad,8,2,9/26/2025
P3C1S9,Cl_85,P221,Yahope 3D-Optix,digital magnification,5/20/2024,8,Kottayam,7,8,5/20/2024
Y4M9D0,Cl_7,P32,Genoray Port XIII Portable X-Ray,imaging,8/15/2024,7,Muzzaffar Nagar,5,1,8/15/2024
T1A2T9,Cl_75,P152,BR Rap Endomotor,endomotors,2/29/2020,7,Nandagaon,7,16,2/29/2020
W8K3N3,Cl_99,P136,Arum 5x-500 L Milling Machine,dental milling machine,10/26/2023,7,Malappuram,7,1,10/26/2023
R6M2V3,Cl_55,P29,Genoray PAPAYA CUST OPG,imaging,8/9/2021,7,Belgaum,7,2,8/9/2021
H4C0W6,Cl_57,P86,Osseotouch Magnetic Mallet,implant uni-verse,3/9/2023,1,Salem,5,8,3/9/2023
Q9T8J8,Cl_25,P76,Tealth External Irrigation Straight HeadLow SpeedHandpiece,dental handpeice,11/16/2021,10,Boriwali,10,22,11/16/2021
F5N9Z0,Cl_64,P11,Anthos A3 plus,dental_chair,9/11/2023,2,Chandigarh,6,3,9/11/2023
N3D5E7,Cl_26,P157,NSK Physiodispensor Surgic AP 2,physiodispensor and piezosurgery units,10/5/2021,6,Kannur,4,7,10/5/2021
K6T2Y4,Cl_17,P55,Woodpecker HP33 Air Rotor Handpiece,dental handpeice,7/24/2024,9,Ludhinana,5,56,7/24/2024
Y2N3K4,Cl_12,P104,Trios 3 Color Pod Intraoral Scanner,intraoral scanner,7/28/2024,5,Varanasi,7,3,7/28/2024
C0F5E5,Cl_70,P208,Crown & Bridge Remover Fully Automatic With 9 Tips,dental instruments,11/11/2022,10,Dehradun,5,NULL,11/11/2022
E1L3K0,Cl_33,P100,NSKViva Ace,physiodispensor unit,2/20/2025,9,Agra,2,8,2/20/2025
U3P2Q8,Cl_36,P207,COMPOSITE FILLING INSTRUMENTS T.C.GOLD,dental instruments,2/29/2024,10,Malappuram,8,8,2/29/2024
J4W8B7,Cl_22,P17,Melag Vacuclave 105Autoclave,dental autoclaves,8/15/2025,9,Kannur,7,17,8/15/2025
H3T6F8,Cl_77,P211,Diagnostic PMT Set Of 3 Pcs With Explorer D/E,dental instruments,2/17/2025,2,Malappuram,9,8,2/17/2025
H2P2A1,Cl_18,P109,Aoralscan 3 Intraoral Scanner,intraoral scanner,6/1/2020,10,Rajkot,10,3,6/1/2020
X9Z5R6,Cl_67,P70,Tealth Mini Head High Speed Air Rotor Handpiece,dental handpeice,9/19/2023,2,Raipur,10,91,9/19/2023
D8M8Q3,Cl_11,P106,EliteIntraoral Scanner,intraoral scanner,10/30/2021,5,Goregaon,6,4,10/30/2021
B8T2O2,Cl_92,P103,Trios 4 IntraoralScanner,intraoral scanner,10/29/2024,6,Ghaziabad,5,4,10/29/2024
H9S9X0,Cl_8,P162,NSKVarioSurg 4,physiodispensor and piezosurgery units,8/8/2025,4,Rajkot,8,2,8/8/2025
O1F3A1,Cl_65,P50,NSK S-Max M95 Handpiece,dental handpeice,11/23/2024,8,Erode,4,59,11/23/2024
J8N1M4,Cl_38,P18,Dental WaterDistiller,dental autoclaves,8/18/2020,2,Navasari-Gujarat,4,14,8/18/2020
W9V9L4,Cl_96,P110,ioConnect By TruAbutment,intraoral scanner,9/21/2021,4,Guwahati,9,2,9/21/2021
E3Q1F7,Cl_1,P48,NSK MPASHead,dental handpeice,10/1/2024,10,Surat,9,75,10/1/2024
R9J6N2,Cl_83,P131,ROLAND DWX 52 DCI Plus Milling Machine,dental milling machine,10/9/2022,5,Vile Parle,7,2,10/9/2022
A7U8P8,Cl_11,P32,Genoray Port XIII Portable X-Ray,imaging,11/12/2025,5,Goregaon,10,1,11/12/2025
D8A9J0,Cl_65,P134,Arum 5x-450 Milling Machine,dental milling machine,9/17/2025,1,Erode,4,2,9/17/2025
A4E9Q2,Cl_89,P134,Arum 5x-450 Milling Machine,dental milling machine,7/31/2020,6,Kottayam,7,0,7/31/2020
Y1J5Q3,Cl_94,P141,NSK NLX Nano Portable Micromotor System,dental micromotor,7/18/2024,7,Pune,9,18,7/18/2024
N2A1B0,Cl_69,P36,Biolase Soft Tissue Laser  Epic X,dental lasers,10/25/2020,1,Salem,9,3,10/25/2020
G2G2A5,Cl_9,P73,Tealth 20:1 Surgical Contra Angle Low Speed Handpiece,dental handpeice,4/22/2022,3,Bargarh,3,77,4/22/2022
S7E1A1,Cl_43,P183,Elegoo Saturn 3 Ultra 3D Printer,dental 3d printer,10/9/2020,1,Alappuzha,2,1,10/9/2020
H7C9P8,Cl_70,P134,Arum 5x-450 Milling Machine,dental milling machine,4/18/2025,2,Dehradun,6,0,4/18/2025
F1M7P3,Cl_20,P209,CONSERVATIVE INSTRUMENTS KIT,dental instruments,6/24/2022,3,Kozhikode,8,4,6/24/2022
C1T9C0,Cl_26,P29,Genoray PAPAYA CUST OPG,imaging,9/27/2024,5,Kannur,8,3,9/27/2024
W5J8J6,Cl_68,P155,CoxoSurgic-X,physiodispensor and piezosurgery units,12/1/2021,7,Washim,6,7,12/1/2021
O8A3S4,Cl_57,P144,Micro NX Micromotor (Table Top),dental micromotor,8/16/2022,8,Salem,8,29,8/16/2022
R2Z6L6,Cl_28,P128,Roland DWX-53 DC Milling Machine,dental milling machine,3/11/2025,7,Jalandhar,5,1,3/11/2025
Y7F4P5,Cl_6,P126,Zotion T20 Dental Milling Machine,dental milling machine,8/31/2025,9,Indore,4,1,8/31/2025
Z4E2K0,Cl_61,P64,Tealth 45 Degree High Speed Air Rotor,dental handpeice,5/11/2021,8,Jaipur-Rajasthan,7,71,5/11/2021
P4P7W2,Cl_82,P39,NSK FX 25 Contra Angle Handpiece,dental handpeice,4/20/2024,7,Bhopal,9,25,4/20/2024
H4T3V4,Cl_82,P127,Roland DWX-53D Dental Milling Machine,dental milling machine,3/1/2023,4,Bhopal,5,2,3/1/2023
Q8T2C0,Cl_50,P75,Tealth Contra Angle Low SpeedHandpiece,dental handpeice,9/9/2025,8,Raipur,5,70,9/9/2025
E7V8N2,Cl_70,P66,Tealth Push Type Contra Angle Low Speed Handpiece,dental handpeice,12/2/2020,9,Dehradun,4,98,12/2/2020
I8S5G9,Cl_97,P83,Coxo ImplantActivator,implant uni-verse,12/8/2020,8,Seawood,5,6,12/8/2020
T8J3F5,Cl_22,P50,NSK S-Max M95 Handpiece,dental handpeice,9/5/2021,1,Kannur,4,40,9/5/2021
U1T2V4,Cl_19,P99,NSKVarioSurg 4,physiodispensor unit,6/25/2023,8,Boriwali,4,3,6/25/2023
L7V4Q1,Cl_17,P152,BR Rap Endomotor,endomotors,8/12/2021,2,Ludhinana,7,22,8/12/2021
B3M5V3,Cl_49,P56,Tornado Mini Head Handpiece,dental handpeice,7/4/2025,10,Jalgaon,9,44,7/4/2025
H9X3J4,Cl_87,P112,Metismile Dental Face Scanner,intraoral scanner,1/16/2023,5,Pune,7,3,1/16/2023
O8O9W5,Cl_12,P53,NSK S-Max Pico Optic Handpiece,dental handpeice,12/4/2021,9,Varanasi,9,48,12/4/2021
F1G3G8,Cl_21,P50,NSK S-Max M95 Handpiece,dental handpeice,11/13/2024,4,Thane,4,81,11/13/2024
Z7O3X8,Cl_54,P81,CoxoSurgic-X,implant uni-verse,10/12/2022,4,Varanasi,7,3,10/12/2022
K5K2S5,Cl_1,P171,BeSmile Aconia SHT-Preshade Zirconia,lab consumables,6/26/2020,1,Surat,9,425,6/26/2020
R1K0J8,Cl_31,P220,Dental Recording System,digital magnification,12/28/2020,4,Bhuveshwar,6,6,12/28/2020
O5R3N9,Cl_89,P32,Genoray Port XIII Portable X-Ray,imaging,3/31/2023,3,Kottayam,6,3,3/31/2023
I9P8Z4,Cl_69,P98,Woodpecker Ultrasurgery LED,physiodispensor unit,9/25/2020,7,Salem,9,7,9/25/2020
H8V2S8,Cl_5,P49,NSK S-Max M65 Straight Handpiece,dental handpeice,2/24/2022,6,Thane,9,37,2/24/2022
K8I6I6,Cl_1,P130,Roland DWX 52 Di Plus Milling Machine,dental milling machine,6/5/2020,8,Surat,5,2,6/5/2020
U8H9D0,Cl_73,P28,RAYSCAN ? 3D Dental CBCT,imaging,1/4/2022,4,Kannur,6,3,1/4/2022
K3Q2W0,Cl_37,P117,Shining 3D AoralScan 3 Intraoral Scanner,face scanner,9/1/2020,9,Belgaum,7,3,9/1/2020
V0I3O4,Cl_36,P116,Shining 3D AoralScan 3 NEO Intraoral Scanner,face scanner,9/24/2024,5,Malappuram,9,3,9/24/2024
K6F2I3,Cl_40,P161,Woodpecker Ultrasurgery LED,physiodispensor and piezosurgery units,11/29/2021,5,Tirupattur,4,6,11/29/2021
V0H3Y7,Cl_92,P60,Tornado Air Motor Dental Handpiece,dental handpeice,3/18/2022,9,Ghaziabad,3,100,3/18/2022
B1I6R6,Cl_65,P78,Tealth Internal Irrigation Fiber Optic Straight Head Low Speed Handpiece,dental handpeice,2/29/2020,10,Erode,4,83,2/29/2020
B6E9H3,Cl_62,P110,ioConnect By TruAbutment,intraoral scanner,8/14/2021,8,Mumbai,8,4,8/14/2021
B6H2M7,Cl_89,P53,NSK S-Max Pico Optic Handpiece,dental handpeice,3/6/2025,9,Kottayam,4,21,3/6/2025
E0M0B1,Cl_20,P53,NSK S-Max Pico Optic Handpiece,dental handpeice,3/11/2023,8,Kozhikode,9,100,3/11/2023
B3B0K5,Cl_79,P146,ClinicalMicroMotor,dental micromotor,5/30/2022,9,Rewari,7,11,5/30/2022
O8T6W7,Cl_15,P74,Tealth Air Motor for Straight and Contra Angle Handpiece,dental handpeice,3/23/2025,10,Okhla,5,44,3/23/2025
K2H5Y8,Cl_3,P130,Roland DWX 52 Di Plus Milling Machine,dental milling machine,1/21/2021,3,Chennai,7,2,1/21/2021
U1G6U1,Cl_90,P129,Roland DWX-52D Plus 5-Axis Milling Machine,dental milling machine,3/8/2022,9,Rourkela,8,1,3/8/2022
S1C5Y8,Cl_19,P126,Zotion T20 Dental Milling Machine,dental milling machine,2/24/2021,7,Boriwali,8,0,2/24/2021
E1J6Z6,Cl_52,P107,Aoralscan LyncIntraoral Scanner,intraoral scanner,10/11/2022,8,Malappuram,9,2,10/11/2022
S2E9H3,Cl_87,P135,Arum 5x-500 Dental Milling Machine,dental milling machine,9/2/2021,7,Pune,5,0,9/2/2021
V4T2O3,Cl_77,P171,BeSmile Aconia SHT-Preshade Zirconia,lab consumables,4/19/2020,1,Malappuram,4,222,4/19/2020
J2Y7O2,Cl_10,P116,Shining 3D AoralScan 3 NEO Intraoral Scanner,face scanner,5/4/2025,7,Kannur,4,1,5/4/2025
E1B3E5,Cl_16,P215,Extraction Forceps Paedo Set of 7 Pcs,dental instruments,1/3/2024,1,Okhla,4,8,1/3/2024
K3C1L5,Cl_92,P124,Shining 3D AutoScan DS EX Pro(H),dental lab scanner,5/24/2022,5,Ghaziabad,6,1,5/24/2022
E0G3E3,Cl_6,P18,Dental WaterDistiller,dental autoclaves,7/29/2022,1,Indore,10,17,7/29/2022
G5F0W9,Cl_25,P23,Gnatus BioQualy 3HP Air Compressor,dental compressors,12/15/2025,7,Boriwali,9,7,12/15/2025
W9Z2J9,Cl_19,P145,Micro NX Micromotor (Chair Inbuilt),dental micromotor,11/19/2021,3,Boriwali,6,18,11/19/2021
J3V4Q1,Cl_7,P98,Woodpecker Ultrasurgery LED,physiodispensor unit,11/12/2021,2,Muzzaffar Nagar,5,5,11/12/2021
R7G5L4,Cl_54,P150,Woodpecker Endomotor,endomotors,2/24/2023,7,Varanasi,5,25,2/24/2023
B9I7X4,Cl_48,P111,Trios Move+ Intraoral Scanner,intraoral scanner,4/18/2021,6,Nashik,7,3,4/18/2021
I5Z6F4,Cl_52,P87,Yahope3D-Optix,implant uni-verse,11/28/2025,6,Malappuram,8,7,11/28/2025
U1R9A1,Cl_97,P56,Tornado Mini Head Handpiece,dental handpeice,2/19/2025,7,Seawood,8,42,2/19/2025
W5X8N4,Cl_37,P154,BR Touch,endomotors,2/14/2021,2,Belgaum,6,14,2/14/2021
W5E0P9,Cl_11,P152,BR Rap Endomotor,endomotors,4/19/2023,7,Goregaon,7,27,4/19/2023
I0I0X8,Cl_11,P163,NSKViva Ace,physiodispensor and piezosurgery units,10/4/2024,5,Goregaon,6,2,10/4/2024
P2A8X6,Cl_32,P44,NSK Ti-Max X SG20L Handpiece,dental handpeice,3/18/2021,8,Alappuzha,6,22,3/18/2021
W6C8C1,Cl_91,P50,NSK S-Max M95 Handpiece,dental handpeice,11/26/2024,5,Nagercoil,10,40,11/26/2024
V7Z2H6,Cl_55,P148,NSK Endo Mate TC2 Endomotor,endomotors,2/25/2023,9,Belgaum,9,10,2/25/2023
W3B1K2,Cl_49,P148,NSK Endo Mate TC2 Endomotor,endomotors,11/30/2020,8,Jalgaon,7,12,11/30/2020
C9A4C3,Cl_48,P151,Stream X,endomotors,11/8/2023,7,Nashik,9,NULL,11/8/2023
P7L0B6,Cl_58,P145,Micro NX Micromotor (Chair Inbuilt),dental micromotor,5/23/2023,3,Mallapuram,5,16,5/23/2023
N6D2X6,Cl_79,P110,ioConnect By TruAbutment,intraoral scanner,12/9/2021,8,Rewari,8,4,12/9/2021
L0L7L5,Cl_12,P27,Runyes Portable Dental X-Ray (Gun-Type),imaging,6/12/2023,6,Varanasi,6,2,6/12/2023
N3N1O4,Cl_42,P161,Woodpecker Ultrasurgery LED,physiodispensor and piezosurgery units,4/26/2021,1,Sri Ganganagar,6,6,4/26/2021
V4K1N9,Cl_1,P84,Piezo-X Advanced Piezosurgery Unit,implant uni-verse,4/28/2020,7,Surat,10,4,4/28/2020
P7E2H5,Cl_18,P166,Unicorn Zirconia Blanks (ST Pre-Shaded),lab consumables,6/22/2020,8,Rajkot,9,200,6/22/2020
V7X9Y1,Cl_35,P52,NSK S-Max Pico Non Optic Handpiece,dental handpeice,9/4/2021,8,Mumbai,10,88,9/4/2021
Z0N9D5,Cl_86,P217,Extraction Forceps Set Of 14 Pcs,dental instruments,4/8/2022,8,Calicut,6,10,4/8/2022
T1B9E2,Cl_31,P63,Hi-Clean Oil Spray Bottle,dental handpeice,2/26/2020,7,Bhuveshwar,5,48,2/26/2020
O2R1Y4,Cl_9,P187,Woodpecker PT-3LED Scaler,ultrasonic scalers,6/16/2022,1,Bargarh,5,19,6/16/2022
Y6J8D6,Cl_61,P191,Inbuilt ScalerV3,ultrasonic scalers,6/22/2022,1,Jaipur-Rajasthan,9,34,6/22/2022
F3P5A0,Cl_95,P184,Zotion F2 Dental Sintering Furnace,dental sintering furnace,8/26/2025,1,Sangli,7,8,8/26/2025
M8E2B5,Cl_40,P95,NSK Physiodispenser Surgic Pro 2,physiodispensor unit,11/26/2025,10,Tirupattur,5,8,11/26/2025
M2A1I8,Cl_73,P220,Dental Recording System,digital magnification,2/19/2025,10,Kannur,5,4,2/19/2025
R6Y2J6,Cl_91,P191,Inbuilt ScalerV3,ultrasonic scalers,12/19/2022,5,Nagercoil,8,16,12/19/2022
F2Z0L7,Cl_40,P145,Micro NX Micromotor (Chair Inbuilt),dental micromotor,2/25/2022,1,Tirupattur,5,13,2/25/2022
C9H5G1,Cl_20,P62,Tornado Straight Handpiece,dental handpeice,8/29/2024,6,Kozhikode,5,95,8/29/2024
E2D2N2,Cl_59,P104,Trios 3 Color Pod Intraoral Scanner,intraoral scanner,12/18/2024,2,Yavatmal,8,2,12/18/2024
L2N4R6,Cl_86,P108,Aoralscan 3 Neo Intraoral Scanner,intraoral scanner,3/12/2024,5,Calicut,7,4,3/12/2024
F3V0D6,Cl_15,P104,Trios 3 Color Pod Intraoral Scanner,intraoral scanner,10/15/2022,10,Okhla,6,3,10/15/2022
U3X1D8,Cl_18,P63,Hi-Clean Oil Spray Bottle,dental handpeice,3/1/2025,2,Rajkot,6,66,3/1/2025
M1E3K3,Cl_3,P205,LUXATOMESET OF9 Pcs,dental instruments,1/18/2025,8,Chennai,4,7,1/18/2025
Q7W7C9,Cl_41,P212,Diagnostic PMT Set Of 3 Pcs With Straight Probe S/E,dental instruments,12/20/2024,8,Nerul,10,10,12/20/2024
G3Y9N8,Cl_80,P93,Piezo-X Advanced Piezosurgery Unit,physiodispensor unit,10/18/2024,1,Kolhapur,9,8,10/18/2024
B9V8O0,Cl_2,P39,NSK FX 25 Contra Angle Handpiece,dental handpeice,8/14/2021,9,Surat,9,87,8/14/2021
M7S8K4,Cl_3,P207,COMPOSITE FILLING INSTRUMENTS T.C.GOLD,dental instruments,4/24/2025,10,Chennai,6,1,4/24/2025
I6K3J4,Cl_68,P182,GLB 120M Metal 3D Printer,dental 3d printer,4/11/2020,3,Washim,5,0,4/11/2020
N3T1T8,Cl_92,P91,EMS Airflow Prophylaxis Master,implant uni-verse,11/26/2022,8,Ghaziabad,4,4,11/26/2022
C7D4A0,Cl_50,P60,Tornado Air Motor Dental Handpiece,dental handpeice,3/9/2025,6,Raipur,7,95,3/9/2025
R0D8H6,Cl_24,P42,NSK Pana Air PAF-S B2 Handpiece,dental handpeice,4/5/2022,9,Pune,10,70,4/5/2022
O0M6A5,Cl_22,P217,Extraction Forceps Set Of 14 Pcs,dental instruments,7/12/2024,7,Kannur,4,5,7/12/2024
U7R1G2,Cl_81,P196,All-in-One PC Intraoral Camera,intraoral camera,10/30/2023,7,Hyderabad,8,2,10/30/2023
R4M3Y0,Cl_63,P173,BeSmile ColoringLiquids,lab consumables,2/12/2023,5,Jalna,9,215,2/12/2023
L7N2X5,Cl_65,P176,Shining 3D AccuFab-L4K 3D Printer,dental 3d printer,12/16/2022,8,Erode,6,4,12/16/2022
W6S4X2,Cl_46,P141,NSK NLX Nano Portable Micromotor System,dental micromotor,7/9/2025,8,Lakhimpur-Up,4,16,7/9/2025
W2H1U4,Cl_5,P54,NSK Dyna LED Handpiece,dental handpeice,2/21/2020,1,Thane,9,58,2/21/2020
B9W0E8,Cl_9,P163,NSKViva Ace,physiodispensor and piezosurgery units,1/3/2025,1,Bargarh,6,4,1/3/2025
R1Z6U3,Cl_15,P164,Anycubic Standard 3D Printing Resin,lab consumables,2/21/2025,3,Okhla,4,149,2/21/2025
E5T9K4,Cl_7,P144,Micro NX Micromotor (Table Top),dental micromotor,6/29/2023,2,Muzzaffar Nagar,7,27,6/29/2023
A2Y3U3,Cl_84,P61,Tornado Contra-Angle Handpiece,dental handpeice,12/21/2023,10,Vasant Kunj,2,96,12/21/2023
Z8D5J2,Cl_37,P33,Genoray Port X-IVe Portable X-Ray,imaging,4/27/2023,5,Belgaum,5,3,4/27/2023
C8E2E1,Cl_14,P39,NSK FX 25 Contra Angle Handpiece,dental handpeice,2/4/2024,5,Okhla,5,80,2/4/2024
N7E5B0,Cl_69,P179,Asiga Max 2Printer,dental 3d printer,3/30/2022,4,Salem,7,3,3/30/2022
N3D7L4,Cl_82,P177,Phrozen Sonic Mighty 4K 3D Printer,dental 3d printer,2/16/2023,1,Bhopal,7,0,2/16/2023
J8O1S4,Cl_4,P39,NSK FX 25 Contra Angle Handpiece,dental handpeice,7/10/2021,3,Raipur,7,66,7/10/2021
B2I2B8,Cl_90,P60,Tornado Air Motor Dental Handpiece,dental handpeice,1/10/2024,9,Rourkela,6,98,1/10/2024
